AD;Full-flowering date (DOY);March-Mean-Temp
853;104;5.84 
864;100;7.13 
866;106;7.38 
891;109;5.60 
892;108;5.71 
894;106;5.95 
895;104;6.08 
896;104;6.22 
902;102;6.65 
908;98;6.93 
912;95;7.35 
913;110;7.36 
917;95;7.50 
923;104;7.26 
926;98;6.85 
930;97;6.77 
933;106;6.33 
941;109;7.45 
949;107;6.49 
950;95;6.71 
955;89;7.17 
957;112;7.56 
958;109;7.54 
959;97;7.47 
960;101;7.43 
961;87;7.39 
963;94;7.16 
965;104;7.20 
966;98;7.08 
967;103;6.97 
969;98;6.74 
972;107;6.93 
974;108;7.18 
975;101;7.11 
977;112;6.94 
979;104;6.92 
985;94;6.61 
989;100;5.88 
991;104;6.23 
1000;105;6.13 
1004;117;5.85 
1006;100;5.26 
1007;106;5.29 
1014;115;5.14 
1016;111;5.41 
1017;99;5.30 
1018;113;5.41 
1019;98;5.62 
1029;116;6.09 
1031;97;6.30 
1032;111;6.40 
1033;102;6.36 
1034;96;6.45 
1036;104;6.68 
1066;105;5.82 
1071;113;5.73 
1073;103;5.79 
1080;102;6.07 
1083;96;5.92 
1084;120;6.05 
1088;104;6.35 
1090;105;6.31 
1093;105;6.24 
1095;100;6.19 
1096;96;6.02 
1098;100;5.99 
1099;103;5.90 
1102;104;6.12 
1104;108;6.16 
1105;114;6.16 
1107;105;6.13 
1111;113;5.97 
1112;104;5.77 
1114;100;5.59 
1117;109;5.60 
1118;102;5.54 
1120;104;5.58 
1123;112;5.72 
1124;98;5.61 
1125;111;5.66 
1126;108;5.58 
1127;107;5.67 
1128;111;5.61 
1129;106;5.56 
1130;103;5.48 
1131;103;5.45 
1134;106;5.35 
1139;113;5.80 
1140;103;5.78 
1141;111;6.34 
1143;110;6.52 
1145;107;6.50 
1151;109;6.01 
1154;96;5.89 
1156;90;5.90 
1159;103;6.42 
1161;112;6.83 
1163;112;6.37 
1164;100;6.19 
1165;106;6.11 
1166;95;5.99 
1167;111;5.87 
1169;112;5.75 
1170;113;5.53 
1172;103;5.24 
1173;117;5.24 
1174;112;5.22 
1175;113;5.11 
1176;113;5.14 
1179;103;5.03 
1180;98;4.93 
1182;104;4.75 
1183;101;4.76 
1184;115;4.77 
1185;115;4.91 
1187;104;5.22 
1188;107;5.17 
1190;112;5.32 
1191;106;5.42 
1194;119;5.58 
1199;109;5.38 
1200;104;5.46 
1201;96;5.65 
1202;106;5.70 
1203;105;5.66 
1204;110;5.70 
1205;105;5.78 
1207;104;5.92 
1210;112;6.06 
1212;98;5.96 
1213;107;5.93 
1214;102;6.07 
1215;108;6.16 
1216;101;6.21 
1219;101;6.26 
1220;109;6.27 
1221;99;6.29 
1223;116;6.32 
1225;105;6.30 
1226;106;6.39 
1227;111;6.38 
1229;97;6.26 
1230;102;6.17 
1231;101;6.36 
1232;92;6.28 
1233;105;6.27 
1235;110;5.98 
1236;87;6.05 
1240;106;5.98 
1244;108;6.50 
1245;108;6.40 
1246;98;6.38 
1247;106;6.33 
1249;108;5.76 
1250;116;5.78 
1251;100;5.88 
1254;110;6.00 
1257;94;6.16 
1259;96;6.24 
1262;97;6.32 
1263;120;5.95 
1264;103;6.07 
1265;98;6.17 
1267;105;6.35 
1268;103;6.37 
1269;100;6.41 
1271;100;6.46 
1275;107;5.74 
1278;113;5.72 
1279;101;6.13 
1280;102;6.15 
1283;103;6.11 
1284;102;6.07 
1285;105;5.97 
1286;112;6.16 
1287;110;6.11 
1288;108;6.22 
1289;107;6.34 
1292;107;6.46 
1294;101;6.65 
1295;102;6.69 
1301;95;6.52 
1302;96;6.65 
1307;104;6.81 
1311;94;7.06 
1312;100;6.90 
1314;101;6.58 
1315;111;6.42 
1316;103;6.27 
1317;102;6.07 
1319;116;5.74 
1321;102;5.43 
1322;106;5.27 
1323;124;5.12 
1324;98;4.93 
1326;107;4.56 
1329;112;5.17 
1330;108;5.10 
1331;112;5.18 
1332;115;5.08 
1342;110;4.62 
1344;102;4.68 
1346;107;4.82 
1347;109;4.87 
1349;112;5.17 
1350;101;5.16 
1351;115;5.15 
1356;117;5.64 
1357;107;5.73 
1358;110;5.70 
1359;105;5.77 
1360;101;5.71 
1361;108;5.82 
1363;107;5.83 
1364;110;5.90 
1366;112;5.87 
1367;97;6.01 
1368;88;6.06 
1369;94;6.16 
1370;109;6.24 
1372;102;6.44 
1373;110;6.52 
1375;103;6.65 
1376;99;6.64 
1377;105;6.71 
1378;104;6.74 
1379;103;6.79 
1380;102;6.84 
1381;108;6.83 
1382;105;6.81 
1383;102;6.72 
1384;98;6.64 
1385;99;6.64 
1386;105;6.69 
1387;100;6.66 
1388;99;6.62 
1398;106;7.40 
1401;101;7.19 
1402;103;7.21 
1403;104;7.18 
1406;102;7.07 
1407;101;7.07 
1408;111;7.07 
1409;86;7.06 
1410;102;7.08 
1412;93;7.10 
1413;91;7.10 
1415;105;7.15 
1416;101;7.13 
1417;109;7.10 
1418;98;7.16 
1419;100;7.11 
1420;112;7.14 
1421;99;7.13 
1422;109;7.12 
1423;96;7.14 
1424;103;7.26 
1425;98;7.10 
1426;99;7.08 
1427;102;7.05 
1429;98;6.72 
1430;108;6.71 
1431;102;6.67 
1432;104;6.56 
1433;98;6.70 
1434;113;6.75 
1435;95;6.75 
1436;101;6.84 
1437;103;6.92 
1438;99;6.94 
1439;101;6.84 
1440;98;6.91 
1441;105;6.83 
1443;107;6.68 
1444;109;6.57 
1446;108;6.47 
1447;111;6.43 
1448;96;6.47 
1449;95;6.41 
1450;100;6.56 
1451;103;6.46 
1452;92;6.41 
1453;107;6.44 
1454;105;6.38 
1455;96;6.35 
1456;106;6.29 
1457;105;6.16 
1458;112;6.13 
1459;113;6.27 
1460;111;6.29 
1461;106;6.36 
1462;106;6.29 
1463;101;6.18 
1464;104;6.05 
1465;98;5.99 
1466;105;5.94 
1467;101;5.90 
1468;101;5.82 
1472;114;6.18 
1474;98;6.30 
1476;100;6.53 
1477;110;6.52 
1478;115;6.58 
1479;110;6.51 
1480;104;6.58 
1481;106;6.51 
1482;108;6.50 
1483;101;6.58 
1484;97;6.47 
1485;94;6.55 
1486;99;6.59 
1487;93;6.53 
1488;103;6.62 
1489;100;6.52 
1490;97;6.44 
1491;107;6.41 
1492;108;6.34 
1493;100;6.33 
1494;106;6.45 
1495;94;6.45 
1496;97;6.38 
1497;108;6.36 
1498;97;6.34 
1499;111;6.30 
1500;97;6.17 
1501;103;6.07 
1502;115;6.01 
1503;108;5.80 
1504;114;5.73 
1505;106;5.68 
1506;106;5.59 
1507;108;5.63 
1508;111;5.62 
1509;102;5.54 
1510;110;5.56 
1511;111;5.26 
1512;109;5.18 
1513;110;5.20 
1514;105;5.11 
1515;111;5.14 
1516;104;5.09 
1517;106;5.04 
1518;115;5.08 
1519;111;5.08 
1520;105;5.25 
1521;107;5.24 
1522;103;5.22 
1523;109;5.18 
1524;109;5.11 
1525;104;4.94 
1526;113;4.95 
1527;105;5.03 
1528;106;4.94 
1529;107;4.97 
1530;107;5.04 
1531;103;5.04 
1532;108;5.04 
1533;111;4.93 
1534;108;4.92 
1535;95;4.92 
1536;108;4.88 
1537;108;4.91 
1538;112;4.77 
1539;120;4.75 
1540;122;4.83 
1541;109;4.69 
1542;102;5.01 
1543;119;4.95 
1544;107;5.06 
1545;97;5.13 
1546;112;5.18 
1547;104;5.23 
1548;118;5.31 
1549;117;5.33 
1550;111;5.26 
1551;109;5.25 
1552;104;5.24 
1553;119;5.26 
1555;101;5.40 
1556;120;5.51 
1557;93;5.52 
1558;111;5.50 
1559;96;5.62 
1560;100;5.65 
1561;102;5.53 
1562;99;5.66 
1563;99;5.68 
1564;109;5.81 
1565;114;6.02 
1566;97;6.06 
1567;108;6.11 
1568;106;6.05 
1570;112;6.15 
1571;108;6.09 
1572;107;6.24 
1574;98;6.17 
1576;109;6.18 
1577;100;6.21 
1579;102;6.09 
1580;97;6.07 
1581;105;6.20 
1583;108;5.99 
1584;106;6.02 
1585;105;6.06 
1586;106;6.26 
1587;105;6.29 
1588;106;6.38 
1589;105;6.45 
1590;102;6.45 
1591;94;6.44 
1592;98;6.45 
1593;113;6.41 
1594;93;6.37 
1595;111;6.29 
1596;104;6.22 
1597;114;6.43 
1598;110;6.41 
1599;103;6.45 
1600;101;6.40 
1601;93;6.23 
1602;107;6.21 
1603;99;6.25 
1604;95;6.39 
1605;105;6.39 
1606;106;6.32 
1607;110;6.20 
1609;108;6.05 
1610;110;6.05 
1612;87;6.15 
1613;106;6.25 
1614;103;6.22 
1615;110;6.18 
1616;122;6.12 
1617;107;6.03 
1618;102;6.15 
1619;93;6.21 
1621;109;6.22 
1622;106;6.21 
1623;113;6.25 
1624;112;6.22 
1625;95;6.27 
1626;100;6.19 
1628;104;5.78 
1629;112;5.79 
1632;104;6.20 
1633;98;6.23 
1634;96;6.21 
1635;97;6.08 
1637;105;6.09 
1638;105;6.04 
1639;108;6.15 
1640;103;6.26 
1641;117;6.15 
1642;114;6.08 
1643;114;6.04 
1644;105;6.03 
1645;99;6.05 
1646;87;6.00 
1647;112;5.92 
1649;104;5.86 
1650;102;5.70 
1651;107;5.59 
1652;107;5.58 
1653;112;5.52 
1654;104;5.50 
1655;104;5.58 
1656;103;5.43 
1658;108;5.51 
1660;111;5.44 
1661;93;5.43 
1662;110;5.23 
1663;105;5.27 
1664;105;5.23 
1665;112;5.19 
1666;108;5.10 
1667;112;5.14 
1668;110;5.17 
1669;104;5.14 
1670;102;5.10 
1671;116;5.08 
1672;112;5.02 
1673;105;4.99 
1674;115;5.07 
1675;111;5.22 
1676;103;5.29 
1677;96;5.31 
1678;109;5.34 
1679;114;5.29 
1680;109;5.16 
1681;110;5.16 
1682;104;5.13 
1683;108;5.20 
1684;118;5.31 
1685;106;5.26 
1686;104;5.16 
1687;104;5.17 
1688;114;5.26 
1689;97;5.21 
1690;93;5.26 
1691;103;5.23 
1692;109;5.15 
1693;107;5.17 
1694;109;5.20 
1695;120;5.20 
1696;114;5.19 
1697;111;5.18 
1698;101;5.21 
1699;97;5.19 
1700;116;5.27 
1701;112;5.24 
1702;116;5.33 
1703;103;5.37 
1704;113;5.49 
1705;109;5.32 
1706;115;5.32 
1707;111;5.35 
1708;103;5.39 
1709;106;5.47 
1713;104;5.60 
1714;108;5.55 
1715;107;5.47 
1716;110;5.58 
1717;98;5.61 
1718;102;5.70 
1719;102;5.70 
1720;114;5.82 
1721;95;5.86 
1722;100;6.08 
1723;104;6.19 
1724;99;6.12 
1725;106;6.06 
1726;116;6.03 
1727;112;5.98 
1728;104;5.95 
1729;105;6.01 
1731;104;6.01 
1732;108;6.10 
1733;107;6.11 
1734;102;6.13 
1735;101;6.05 
1736;106;6.16 
1737;93;6.01 
1738;101;6.05 
1739;110;5.95 
1740;115;5.76 
1741;109;5.74 
1742;109;5.78 
1743;108;5.89 
1744;98;5.85 
1745;105;5.86 
1746;110;6.01 
1747;101;5.99 
1748;96;5.95 
1749;100;6.04 
1750;110;6.00 
1751;103;5.89 
1752;110;5.94 
1753;96;5.71 
1754;115;5.67 
1755;120;5.71 
1756;109;5.81 
1757;112;5.83 
1758;101;5.92 
1759;109;5.90 
1760;103;5.89 
1761;89;5.87 
1762;106;5.92 
1763;112;5.82 
1764;98;5.83 
1765;106;5.75 
1766;113;5.93 
1767;101;5.88 
1768;117;5.94 
1769;105;5.85 
1770;105;5.92 
1771;104;6.04 
1772;106;6.08 
1773;100;6.11 
1774;110;6.06 
1775;99;5.97 
1776;108;6.01 
1777;104;5.88 
1778;111;5.88 
1779;96;5.96 
1780;109;5.82 
1781;91;5.84 
1782;109;5.99 
1783;103;5.91 
1784;105;6.05 
1785;108;6.06 
1786;106;6.06 
1787;105;6.13 
1788;109;6.10 
1789;106;6.06 
1790;119;6.22 
1791;99;6.09 
1792;101;6.02 
1793;106;6.07 
1794;104;6.11 
1795;113;6.07 
1796;103;6.06 
1797;97;5.79 
1798;110;5.81 
1799;103;5.72 
1800;103;5.66 
1801;105;5.71 
1802;96;5.67 
1803;110;5.66 
1804;104;5.69 
1805;93;5.79 
1806;114;5.88 
1807;116;5.85 
1808;98;5.81 
1809;107;5.79 
1810;100;5.70 
1811;110;5.74 
1812;120;5.76 
1813;107;5.62 
1814;113;5.60 
1815;111;5.58 
1816;103;5.48 
1817;110;5.41 
1818;106;5.31 
1819;106;5.30 
1820;95;5.23 
1821;109;5.05 
1822;102;5.07 
1823;106;5.14 
1824;108;4.94 
1825;114;4.96 
1826;109;4.90 
1827;100;5.03 
1828;113;5.15 
1829;112;5.15 
1830;105;5.25 
1831;114;5.37 
1832;113;5.34 
1833;107;5.41 
1834;111;5.46 
1835;112;5.44 
1836;112;5.37 
1837;111;5.34 
1838;109;5.34 
1839;120;5.38 
1840;105;5.44 
1841;107;5.45 
1842;96;5.46 
1843;106;5.44 
1844;106;5.45 
1845;102;5.41 
1846;98;5.44 
1847;107;5.40 
1848;102;5.35 
1849;100;5.37 
1850;109;5.52 
1851;102;5.61 
1852;113;5.71 
1853;102;5.76 
1854;102;5.71 
1855;101;5.85 
1856;111;5.82 
1857;108;5.80 
1858;104;5.71 
1859;110;5.68 
1860;113;5.64 
1861;100;5.59 
1862;117;5.64 
1863;118;5.63 
1864;105;5.72 
1865;97;5.59 
1866;102;5.50 
